date,skus,units_produced,profit
2025-06-14,3,115,518.1966666666666
2025-06-15,3,103,505.73544509699894
2025-06-16,2,63,372.8154703234947
2025-06-17,3,79,457.3037777777777
2025-06-18,5,98,443.60935465734576
2025-06-19,4,90,440.74565054645075
2025-06-20,5,99,354.75502035032645
2025-06-21,3,77,455.86488888888886
2025-06-22,2,87,480.92430606060606
2025-06-23,3,118,536.2168888888889
2025-06-24,2,69,446.74288888888884
2025-06-25,3,110,474.70466666666664
2025-06-26,3,71,424.58177777777775
2025-06-27,3,91,460.56593737271936
2025-06-28,4,115,460.60266666666666
2025-06-29,3,113,489.8710914203266
2025-06-30,2,69,446.2296666666666
2025-07-01,3,107,449.96554920634924
2025-07-02,3,88,458.9364444444444
2025-07-03,4,78,401.9718256554077
2025-07-04,4,113,478.9128002253126
2025-07-05,3,80,456.40911111111103
2025-07-06,3,110,480.27054300781947
2025-07-07,3,97,460.111122683438
2025-07-08,2,100,505.68428742342337
2025-07-09,3,68,378.89866891168015
2025-07-10,4,128,494.5210600564145
2025-07-11,2,72,445.0615816033907
2025-07-12,5,110,399.5296287333724
2025-07-13,2,105,515.9500669652854
